sample.ID,date,day,day.number,sample.type,water.type,location,specific,source.ID,captive.wild,dead,age,clutch,mass,CL,CW,PL,PW,H,days.since.previous,mass.diff,CL.diff,CW.diff,PL.diff,PW.diff,H.diff,mass.diff.per.day,CL.diff.per.day,CW.diff.per.day,PL.diff.per.day,PW.diff.per.day,H.diff.per.day,mass.mean.diff.per.day,CL.mean.diff.per.day,CW.mean.diff.per.day,PL.mean.diff.per.day,PW.mean.diff.per.day,H.mean.diff.per.day,days.since.last.measure,shannon,simpson,rich,even,rich.rare.1000,rich.rare.10000,read.depth,date.sc,BCI,year,location.general,type.location.water.type,type.location.gen.water.type,read.depth.sc,specific.wild,specific.year
P94,2019-05-30,Thursday,C7,plastron,NA,Cosley,tub7,18-150,captive,N,juvenile,PW11,32.9,59.11,47.11,53.75,31.15,24.12,24,2.35,1.75,0.56,1.86,1.11,0.51,0.097916667,0.072916667,0.023333333,0.0775,0.04625,0.02125,0.080667819,0.06805265,0.04874058,0.068509229,0.031971298,0.025577578,7,3.227703853,0.887799021,162,0.634426091,135.9800952,156.9485969,35218,0.099492921,0.612093023,2019,Cosley,plastron Cosley ,plastron Cosley ,0.93529544,tub7,tub7
P95,2019-05-30,Thursday,C7,plastron,NA,Cosley,tub7,18-151,captive,N,juvenile,NA,34.6,58.37,47.39,55.13,31.83,25.5,24,2.87,1.43,1.35,1.92,1.17,0.69,0.119583333,0.059583333,0.05625,0.08,0.04875,0.02875,0.087553862,0.075799864,0.047596261,0.074160691,0.033399124,0.026436578,7,2.968468171,0.864146134,145,0.596469155,120.7071255,140.2920341,32750,0.099492921,0.627607473,2019,Cosley,plastron Cosley ,plastron Cosley ,0.633845592,tub7,tub7
P96,2019-05-30,Thursday,C7,plastron,NA,Cosley,tub7,18-166,captive,N,juvenile,NA,36.4,62.17,47.73,56.64,32.61,25.89,24,3.9,2.34,1.48,2.04,1.73,0.44,0.1625,0.0975,0.061666667,0.085,0.072083333,0.018333333,0.116936967,0.10264661,0.071546974,0.09783558,0.057791055,0.044545363,7,2.811900748,0.816774405,130,0.577684817,110.8167478,126.3357033,29246,0.099492921,0.642655367,2019,Cosley,plastron Cosley ,plastron Cosley ,0.205855209,tub7,tub7
P97,2019-05-30,Thursday,C7,plastron,NA,Cosley,tub7,18-168,captive,N,juvenile,NA,32.95,57.93,46.66,52.91,30.63,24.84,24,2.34,2,0.88,2.11,0.61,0.95,0.0975,0.083333333,0.036666667,0.087916667,0.025416667,0.039583333,0.090974189,0.07805577,0.053774432,0.070652277,0.035124406,0.033942617,7,3.333634751,0.902556572,158,0.658483392,133.7543486,152.2031358,30580,0.099492921,0.622755623,2019,Cosley,plastron Cosley ,plastron Cosley ,0.36879447,tub7,tub7
P98,2019-05-30,Thursday,C7,plastron,NA,Cosley,tub7,18-170,captive,N,juvenile,NA,34.54,59.98,47.05,53.57,31.32,24.79,24,3.15,2.05,1.62,1.97,1.68,0.13,0.13125,0.085416667,0.0675,0.082083333,0.07,0.005416667,0.107793629,0.095657006,0.066165634,0.090548307,0.047651889,0.037455795,7,3.196487687,0.893423459,137,0.649695138,117.3201437,133.5768776,25932,0.099492921,0.64476386,2019,Cosley,plastron Cosley ,plastron Cosley ,-0.198927934,tub7,tub7
P99,2019-05-30,Thursday,C7,plastron,NA,Cosley,tub11,18-121,captive,N,juvenile,NA,65.39,73.54,57.56,67.68,40.59,30.74,24,7.16,2.98,1.57,2.43,1.64,1.1,0.298333333,0.124166667,0.065416667,0.10125,0.068333333,0.045833333,0.195003648,0.114206027,0.080790753,0.118048008,0.066791729,0.043259129,7,3.326304981,0.923377338,132,0.681228736,114.4834646,128.8599598,32896,0.099492921,0.966164303,2019,Cosley,plastron Cosley ,plastron Cosley ,0.651678525,tub11,tub11
W01,2018-09-20,Thursday,NA,water,marsh,PW,PW,PW water (with date),wild,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.013508285,0.9711748,119,0.839800079,116.3401787,118.9954832,11511,-1.362376232,NA,2018,Wild,water PW marsh,water Wild marsh,-1.960357537,PW,2018
W02,2018-10-11,Thursday,NA,water,marsh,PW,PW,PW water (with date),wild,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.615729708,0.955126751,108,0.772240147,102.4825743,107.817507,19040,-1.240553803,NA,2018,Wild,water PW marsh,water Wild marsh,-1.040740071,PW,2018
W07,2018-11-09,Friday,C1,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.839537846,0.983846897,321,0.838531962,295.6483864,319.6457694,15387,-1.072322829,NA,2018,Cosley,water Cosley tub,water Cosley tub,-1.486929817,tub7,tub7
W08,2018-11-09,Friday,C1,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.778477429,0.973327207,422,0.790483578,348.1810384,406.734234,38573,-1.072322829,NA,2018,Cosley,water Cosley tub,water Cosley tub,1.345086462,tub11,tub11
